year,parameter,result,latitude,longitude
2009,DDT,4.09,59.4178,-151.72745
2009,DDT,0,59.2451,-151.88933
2009,DDT,0,59.57742,-151.18735
2009,DDT,0,59.59437,-151.16586
2009,DDT,0,59.44878,-151.49982
2009,DDT,0,59.44992,-151.50688
2009,DDT,0.11,59.56058,-151.32156
2009,DDT,0.35,59.4353,-151.71523
2009,DDT,0.02,59.42151,-151.31711
2009,DDT,0,59.6287,-151.5144
2009,DDT,9.75,59.44106,-151.7206
2009,PCB,0.02,59.20451,-151.8067
2009,PCB,0.42,59.42151,-151.31711
2009,PCB,0.08,59.56058,-151.32156
2009,PCB,0.37,59.47564,-151.35077
2009,PCB,0.02,59.56194,-151.27379
2009,PCB,0.02,59.25033,-151.92961
2009,PCB,0.34,59.44878,-151.49982
2009,PCB,0.5,59.20936,-151.82946
2009,PCB,0.01,59.20613,-151.80428
2009,PCB,2.46,59.41501,-151.7148
2009,PCB,28.41,59.4353,-151.71523
2009,PCB,0.23,59.57521,-151.19655
2009,PCB,0.08,59.20921,-151.8124
2009,PCB,0,59.6287,-151.5144
2009,PCB,13.19,59.44106,-151.7206
2009,PCB,0.12,59.44992,-151.50688
2009,PCB,0.31,59.59437,-151.16586
2009,PCB,3.59,59.4178,-151.72745
2009,PCB,5.4,59.42418,-151.71806
2009,PCB,0.5,59.57742,-151.18735
2009,PCB,45.95,59.43729,-151.71519
2009,PCB,0.09,59.63103,-151.53886
2009,PCB,0.64,59.47171,-151.55998
2009,PCB,0.05,59.24618,-151.89516
2009,PCB,0.02,59.2451,-151.88933
2009,PCB,0.04,59.56377,-151.25611
2009,PAH,0.14,59.47564,-151.35077
2009,PAH,0.04,59.44992,-151.50688
2009,PAH,0.13,59.57521,-151.19655
2009,PAH,0.01,59.20451,-151.8067
2009,PAH,0.06,59.56194,-151.27379
2009,PAH,0.03,59.44878,-151.49982
2009,PAH,0.02,59.6287,-151.5144
2009,PAH,0.04,59.20936,-151.82946
2009,PAH,0.01,59.20613,-151.80428
2009,PAH,0.13,59.47171,-151.55998
2009,PAH,0.1,59.59437,-151.16586
2009,PAH,0.07,59.42418,-151.71806
2009,PAH,0.05,59.63103,-151.53886
2009,PAH,0.08,59.43729,-151.71519
2009,PAH,0.12,59.4353,-151.71523
2009,PAH,0.02,59.56058,-151.32156
2009,PAH,0.01,59.20921,-151.8124
2009,PAH,0.01,59.56377,-151.25611
2009,PAH,0.19,59.42151,-151.31711
2009,PAH,0.01,59.25033,-151.92961
2009,PAH,0.17,59.4178,-151.72745
2009,PAH,0.05,59.2451,-151.88933
2009,PAH,0.17,59.57742,-151.18735
2009,PAH,0.09,59.41501,-151.7148
2009,PAH,0,59.24618,-151.89516
2009,PAH,0.07,59.44106,-151.7206
2009,PAH,121.412,59.20715,-151.81512
2009,PAH,194.392,59.42355,-151.31118
2009,DDT,4.79,59.42355,-151.31118
2009,DDT,3.98,59.20715,-151.81512
2009,PCB,4.14,59.42355,-151.31118
2009,PCB,0,59.20715,-151.81512
2009,PAH,2.4,59.20715,-151.81512
2009,PAH,1.61,59.42355,-151.31118
2010,PAH,100.3,59.50694444,-151.8813889
2010,PCB,0.92,59.5705,-151.968
2010,PCB,6.94,59.50694444,-151.8813889
2010,PAH,132.6,59.5705,-151.968
2010,DDT,0.17,59.5705,-151.968
2010,PAH,0.33,59.50694444,-151.8813889
2010,DDT,0.41,59.50694444,-151.8813889
2010,PAH,0.39,59.5705,-151.968
2010,PCB,5.41,59.3,-151.9
2010,PCB,6.45,59.562,-151.7
2010,PAH,146.9,59.562,-151.7
2010,PCB,10.1,59.50694444,-151.8813889
2010,PAH,90.7,59.3,-151.9
2010,PAH,143.4,59.50694444,-151.8813889
2010,DDT,0.17,59.562,-151.7
2010,DDT,0.73,59.50694444,-151.8813889
2010,DDT,0.31,59.3,-151.9
2010,PAH,0.62,59.562,-151.7
2010,PAH,0.5,59.3,-151.9
2010,PAH,0.51,59.50694444,-151.8813889
2010,PCB,8.53,59.351492,-151.82972
2010,PCB,45.37,59.35643,-151.92089
2010,PCB,47.13,59.4532,-151.5209
2010,PAH,5.93,59.4532,-151.5209
2010,PAH,9.2,59.35643,-151.92089
2010,PAH,7.21,59.351492,-151.82972
2010,DDT,39.33,59.35643,-151.92089
2010,DDT,60.12,59.4532,-151.5209
2010,DDT,7.38,59.351492,-151.82972
2010,PCB,39.82,59.351492,-151.82972
2010,PCB,52.64,59.4532,-151.5209
2010,PCB,46.2,59.35643,-151.92089
2010,DDT,21.04,59.35643,-151.92089
2010,DDT,22.89,59.351492,-151.82972
2010,DDT,21.39,59.4532,-151.5209
2010,PAH,8.16,59.35643,-151.92089
2010,PAH,6.56,59.4532,-151.5209
2010,PAH,6.22,59.351492,-151.82972
2000,PAH,278.3,25.2575,-80.4237
1995,PAH,3727.9,25.7793,-80.1852
1995,PAH,2168,25.7726,-80.1791
2000,PAH,241,25.253,-80.4197
2000,PAH,10.9,25.4677,-80.2895
2000,PAH,293.4,25.4687,-80.336
1995,PAH,151.8,25.9032,-80.1323
1995,PAH,325.2,25.7693,-80.168
2000,PAH,215.8,25.2692,-80.4363
1995,PAH,407.4,25.9099,-80.136
1995,PAH,576.6,25.9024,-80.1379
1995,PAH,106.4,25.7719,-80.1429
2000,PAH,13.9,25.4553,-80.3083
1995,PAH,244.7,25.8907,-80.1479
2000,PAH,5.5,25.4188,-80.235
1995,PAH,29.5,25.7534,-80.1712
2000,PAH,892.6,25.487,-80.3363
2000,PAH,9.6,25.47,-80.3062
2000,PAH,11.4,25.4683,-80.242
1995,PAH,15,25.9066,-80.1266
1995,PAH,348.8,25.9137,-80.1345
2000,PAH,4.4,25.4175,-80.2688
1995,PAH,408.7,25.7772,-80.1662
2000,PAH,35.5,25.5192,-80.325
2000,PAH,6.6,25.4395,-80.2562
1995,PAH,953.8,25.7783,-80.1703
2000,PAH,9.2,25.4588,-80.2738
1995,PAH,910.2,25.7821,-80.1778
1995,PAH,54.9,25.7745,-80.1823
1995,PAH,190.6,25.9205,-80.127
2000,PAH,334.3,25.4577,-80.3333
2000,PAH,5.6,25.4212,-80.2897
1995,PAH,366.5,25.9069,-80.1344
1995,PAH,881.3,25.7735,-80.1819
2000,PAH,7.3,25.4427,-80.292
1996,PAH,1320.4,25.7842,-80.1787
1996,PAH,347.2,25.7935,-80.1518
1996,PAH,2018.9,25.8451,-80.1737
1996,PAH,20,25.6815,-80.2193
1996,PAH,175.1,25.7955,-80.1609
1996,PAH,9.8,25.6882,-80.2378
1996,PAH,7,25.6233,-80.2618
1996,PAH,9.2,25.6421,-80.2271
1996,PAH,120.7,25.7965,-80.1619
1996,PAH,12.5,25.6476,-80.2536
1996,PAH,11276.3,25.8464,-80.184
1996,PAH,386.6,25.7917,-80.171
1996,PAH,93,25.818,-80.1671
1996,PAH,1223.6,25.8188,-80.1239
1996,PAH,105.4,25.6907,-80.247
1996,PAH,1168,25.8081,-80.1397
1996,PAH,80.2,25.7037,-80.1894
1996,PAH,75.6,25.6973,-80.1987
1996,PAH,8759.7,25.8138,-80.1244
1996,PAH,12.4,25.606,-80.2249
1996,PAH,67,25.7095,-80.1945
1996,PAH,306.6,25.7268,-80.2033
1996,PAH,780.1,25.8091,-80.1417
1996,PAH,16,25.7148,-80.2033
1996,PAH,2740.7,25.7827,-80.1877
1996,PAH,1442.8,25.8042,-80.1413
1996,PAH,577.8,25.8256,-80.1227
1996,PAH,352.7,25.7804,-80.144
1996,PAH,331.6,25.7786,-80.1465
1996,PAH,709.3,25.8506,-80.1275
1996,PAH,867,25.7857,-80.1469
1996,PAH,200.8,25.7989,-80.1667
1996,PAH,826.1,25.7781,-80.154
1996,PAH,113.7,25.8048,-80.1557
1996,PAH,581.1,25.825,-80.1353
1996,PAH,96.5,25.8046,-80.1718
1996,PAH,1237.8,25.7862,-80.1693
1996,PAH,566.1,25.8157,-80.1637
1996,PAH,1609.3,25.7812,-80.171
1996,PAH,474.7,25.8469,-80.1431
1996,PAH,2553.7,25.7928,-80.1847
1996,PAH,12.6,25.8084,-80.1722
1996,PAH,69.9,25.2906,-80.3698
1996,PAH,91.7,25.4703,-80.344
1996,PAH,26.8,25.3012,-80.3758
1996,PAH,126.2,25.4704,-80.3386
1996,PAH,21.8,25.3242,-80.2999
1996,PAH,13.9,25.6225,-80.2236
1996,PAH,1040,25.4895,-80.3457
1996,PAH,12,25.3187,-80.3203
1996,PAH,9.6,25.3691,-80.3066
1996,PAH,15.2,25.6122,-80.2257
1996,PAH,631.8,25.4895,-80.3433
1996,PAH,10.8,25.3421,-80.2998
1996,PAH,3814.4,25.7209,-80.2667
1996,PAH,6.5,25.4101,-80.2557
1996,PAH,406.3,25.7049,-80.2512
1996,PAH,8.7,25.4006,-80.2649
1996,PAH,310.2,25.4632,-80.334
1996,PAH,752.6,25.4628,-80.3398
1996,PAH,6661.1,25.6609,-80.2724
1996,PAH,267.4,25.4631,-80.3345
1996,PAH,17.5,25.6287,-80.2704
1996,PAH,1743.5,25.6682,-80.2827
1996,PAH,93.5,25.4703,-80.3428
1996,PAH,28.7,25.3004,-80.331
1996,PAH,21.9,25.5511,-80.1991
1996,PAH,174.2,25.8357,-80.1442
1996,PAH,188.3,25.8417,-80.1347
1996,PAH,265.5,25.84,-80.1655
1995,PAH,7.2,25.4329,-80.281
1995,PAH,351.4,25.538,-80.3269
1996,PAH,465.8,25.8435,-80.1618
1995,PAH,268.7,25.5352,-80.325
1995,PAH,114.6,25.5338,-80.3232
1996,PAH,78.5,25.8393,-80.1712
1996,PAH,72.4,25.8603,-80.1636
1995,PAH,6.8,25.4807,-80.2071
1996,PAH,123.1,25.8701,-80.1449
1995,PAH,9.4,25.4814,-80.2889
1996,PAH,84.1,25.8714,-80.1533
1995,PAH,18.3,25.462,-80.3232
1996,PAH,134.5,25.8774,-80.1601
1996,PAH,258.4,25.8748,-80.1585
1995,PAH,8.8,25.4348,-80.3031
1995,PAH,259.4,25.5298,-80.3136
1996,PAH,733.3,25.9248,-80.129
1996,PAH,1745.9,25.9278,-80.1252
1995,PAH,27.9,25.4814,-80.3285
1996,PAH,1375.3,25.9255,-80.1212
1995,PAH,6.6,25.4224,-80.2922
1995,PAH,1154.6,25.5194,-80.3445
1996,PAH,88039.1,25.9293,-80.149
1996,PAH,459.6,25.9277,-80.1342
1995,PAH,57.4,25.5192,-80.3422
1995,PAH,12.2,25.4761,-80.3064
1995,PAH,8.8,25.4334,-80.3126
1996,PAH,5917.1,25.9278,-80.1442
1995,PAH,72,25.5193,-80.3356
1995,PAH,184,25.5292,-80.312
1995,PAH,14.6,25.4812,-80.3032
1996,PAH,3229.1,25.9195,-80.1432
1995,PAH,7.8,25.4709,-80.3121
1996,PAH,288.2,25.945,-80.1266
1995,PAH,8,25.4524,-80.3173
1996,PAH,2953.7,25.9503,-80.1317
1995,PAH,8.4,25.4462,-80.3022
1995,PAH,375.3,25.5372,-80.331
1996,PAH,138.5,25.9437,-80.1318
1995,PAH,9.6,25.5192,-80.3187
1995,PAH,10982.3,25.7703,-80.1918
1995,PAH,9579.1,25.7711,-80.1996
1995,PAH,44.6,25.7567,-80.1563
1995,PAH,7818.5,25.7748,-80.2024
1995,PAH,10.9,25.5031,-80.2943
1995,PAH,10.1,25.5159,-80.2948
1995,PAH,13.9,25.752,-80.1751
1995,PAH,205.4,25.7706,-80.1832
1995,PAH,26.4,25.5234,-80.3192
2000,PAH,44.8,25.2408,-80.4035
1995,PAH,16.5,25.5303,-80.2965
1995,PAH,33,25.5341,-80.3032
1995,PAH,7.1,25.7502,-80.1774
1995,PAH,26.5,25.5272,-80.202
1995,PAH,17.9,25.5412,-80.2671
1995,PAH,334.8,25.7608,-80.1861
1995,PAH,20.4,25.5431,-80.212
1995,PAH,106.9,25.7589,-80.1476
1995,PAH,21895.1,25.7939,-80.2613
1995,PAH,60337.9,25.7945,-80.2542
1995,PAH,802.5,25.7493,-80.1971
1995,PAH,26248.3,25.7795,-80.207
1995,PAH,266.2,25.7531,-80.19
1995,PAH,31241.3,25.7839,-80.2095
1995,PAH,5246.2,25.8056,-80.2582
2000,PAH,20.1,25.2187,-80.408
1995,PAH,65,25.7651,-80.1674
1995,PAH,91.5,25.7528,-80.1681
2000,PAH,23.5,25.2383,-80.4182
1995,PAH,75.3,25.7636,-80.1661
1995,PAH,3591.6,25.8014,-80.2518
1995,PAH,48.7,25.7551,-80.1711
1995,PAH,11.8,25.7575,-80.1452
1995,PAH,1680.7,25.7955,-80.2448
1995,PAH,218.9,25.7694,-80.1739
1995,PAH,3856.8,25.7872,-80.2281
2000,PAH,32.1,25.2413,-80.4217
1995,PAH,120.6,25.7668,-80.1774
1995,PAH,5422.8,25.7823,-80.2141
1995,PAH,4425.2,25.78,-80.2107
1995,PAH,19.7,25.5157,-80.31
1995,PAH,4708.3,25.7711,-80.2042
1995,PAH,824.5,25.7625,-80.187
1995,PAH,23.3,25.7518,-80.1448
1995,PAH,359.3,25.7697,-80.1797
1995,PAH,8615.2,25.7841,-80.2191
2000,PAH,40.1,25.2257,-80.404
1995,PAH,12357.7,25.7903,-80.2361
1995,PAH,6003.3,25.799,-80.2486
1995,PAH,5596.4,25.8054,-80.2573
1995,PAH,1884.9,25.8022,-80.253
2000,PAH,30.9,25.2525,-80.406
1995,PAH,17172.7,25.782,-80.2079
1995,PAH,5427,25.7951,-80.2459
1995,PAH,161.1,25.7508,-80.1886
1995,PAH,193.5,25.7442,-80.1668
1995,PAH,93.8,25.7636,-80.159
1996,PAH,7.1,25.445,-80.2262
1995,PAH,14.6,25.5191,-80.3191
1996,PAH,3846.2,25.938,-80.1434
1996,PAH,332.6,25.9285,-80.1317
1995,PAH,110.3,25.5308,-80.316
1996,PAH,269,25.8798,-80.1494
1996,PAH,104.7,25.8673,-80.1589
1995,PAH,8.1,25.4546,-80.2984
1995,PAH,601.6,25.5325,-80.3199
1996,PAH,177.5,25.8607,-80.1499
1995,PAH,787.5,25.5342,-80.324
1995,PAH,12.6,25.4733,-80.2482
1996,PAH,879,25.85,-80.171
1996,PAH,10871.9,25.872,-80.1682
1996,PAH,10135.1,25.8712,-80.1692
1995,PAH,379.1,25.5402,-80.3287
1996,PAH,1726.4,25.6624,-80.2745
1996,PAH,10,25.4037,-80.2685
1996,PAH,811.7,25.4896,-80.3417
1996,PAH,8.4,25.3512,-80.3189
1996,PAH,625.8,25.7355,-80.2751
1996,PAH,15.6,25.6365,-80.2378
1996,PAH,23,25.3102,-80.3585
1996,PAH,233.1,25.7999,-80.1778
1996,PAH,216.8,25.7815,-80.1821
1996,PAH,2709.2,25.8397,-80.123
1996,PAH,931.5,25.7887,-80.1604
1996,PAH,471.5,25.7838,-80.1549
1996,PAH,746.5,25.7816,-80.1533
1996,PAH,317.4,25.8084,-80.1639
1996,PAH,229.8,25.8206,-80.1464
1996,PAH,13,25.711,-80.2138
1996,PAH,80.1,25.6114,-80.2611
1996,PAH,1223,25.7924,-80.1672
1996,PAH,8.6,25.6813,-80.2411
1996,PAH,20.8,25.684,-80.206
1996,PAH,47.9,25.6824,-80.203
1996,PAH,117.3,25.8192,-80.149
1996,PAH,601.1,25.7925,-80.18
1996,PAH,1999.6,25.8125,-80.1839
1996,PAH,523.4,25.8519,-80.1307
2000,PAH,10.5,25.4833,-80.2753
2000,PAH,198.6,25.442,-80.3242
1995,PAH,204.8,25.9041,-80.1261
2000,PAH,10,25.4863,-80.3022
1995,PAH,1022.6,25.7741,-80.1573
1995,PAH,99.9,25.7619,-80.176
2000,PAH,9.2,25.4395,-80.2388
1995,PAH,182.5,25.7677,-80.1389
2000,PAH,12.5,25.475,-80.2087
2000,PAH,32.8,25.507,-80.1917
1995,PAH,35.9,25.7697,-80.1431
2000,PAH,10.7,25.4355,-80.3053
1995,PAH,33.7,25.766,-80.1655
2000,DDT,0.31,25.507,-80.1917
2000,DDT,0.37,25.4355,-80.3053
1995,DDT,2.04,25.5194,-80.3445
1996,DDT,22.44,25.872,-80.1682
1995,DDT,4.82,25.5298,-80.3136
1996,DDT,4.72,25.8748,-80.1585
1996,DDT,0.95,25.8714,-80.1533
1996,DDT,1.17,25.8701,-80.1449
1995,DDT,6.55,25.5342,-80.324
1996,DDT,0.9,25.84,-80.1655
1996,DDT,0.52,25.9277,-80.1342
1996,DDT,10.05,25.4632,-80.334
1996,DDT,0.1,25.4006,-80.2649
1996,DDT,3.22,25.6624,-80.2745
1996,DDT,16.35,25.4896,-80.3417
1996,DDT,0.07,25.4037,-80.2685
1996,DDT,0.13,25.4101,-80.2557
1996,DDT,82.66,25.4895,-80.3433
1996,DDT,0.15,25.3512,-80.3189
1996,DDT,0.05,25.3187,-80.3203
1996,DDT,0.2,25.3242,-80.2999
1996,DDT,0.25,25.6225,-80.2236
1996,DDT,0.18,25.6287,-80.2704
1996,DDT,0.46,25.2906,-80.3698
1996,DDT,1.99,25.7999,-80.1778
1995,DDT,0.04,25.4348,-80.3031
1996,DDT,1.57,25.8774,-80.1601
1996,DDT,0.34,25.7935,-80.1518
1996,DDT,0.04,25.8046,-80.1718
2000,DDT,0.2,25.4427,-80.292
1995,DDT,1.03,25.9069,-80.1344
1996,DDT,5.01,25.8506,-80.1275
1996,DDT,1.34,25.7816,-80.1533
1996,DDT,0.29,25.7989,-80.1667
1996,DDT,0.13,25.8084,-80.1639
2000,DDT,1.08,25.2692,-80.4363
2000,DDT,2.4,25.253,-80.4197
1996,DDT,3.09,25.825,-80.1353
1996,DDT,14.8,25.8042,-80.1413
1996,DDT,47.72,25.8464,-80.184
1996,DDT,2.5,25.7268,-80.2033
1996,DDT,1.94,25.8256,-80.1227
1995,DDT,0.68,25.9205,-80.127
1996,DDT,7.27,25.8091,-80.1417
1996,DDT,0.45,25.6973,-80.1987
2000,DDT,29.44,25.442,-80.3242
1995,DDT,1.98,25.9041,-80.1261
1995,DDT,1.64,25.7772,-80.1662
1996,PCB,25.51,25.7816,-80.1533
1996,PCB,516.63,25.8138,-80.1244
1996,DDT,0.03,25.6476,-80.2536
1996,PCB,11.94,25.7049,-80.2512
1995,DDT,0.29,25.7745,-80.1823
1996,DDT,0.75,25.945,-80.1266
1995,PCB,0.11,25.4807,-80.2071
1996,PCB,1.54,25.8393,-80.1712
1996,PCB,38.76,25.938,-80.1434
1996,DDT,4.42,25.9195,-80.1432
1995,DDT,3.22,25.7741,-80.1573
1996,PCB,0.88,25.6114,-80.2611
1995,DDT,22.3,25.8014,-80.2518
2000,PCB,0.72,25.4588,-80.2738
1995,DDT,2.49,25.7697,-80.1797
1995,DDT,218.58,25.7839,-80.2095
1995,DDT,15.12,25.7939,-80.2613
1995,DDT,0.05,25.4709,-80.3121
1996,PCB,1.62,25.8603,-80.1636
1996,DDT,0.39,25.3004,-80.331
1996,PCB,3.95,25.7786,-80.1465
1996,PCB,4.74,25.945,-80.1266
1995,PCB,0.7,25.7534,-80.1712
1995,DDT,0.17,25.7534,-80.1712
1995,DDT,12.93,25.5325,-80.3199
2000,DDT,0.63,25.2408,-80.4035
1995,PCB,5.7,25.7508,-80.1886
1996,DDT,0.31,25.5511,-80.1991
1995,PCB,2.1,25.7589,-80.1476
1995,PCB,1262.14,25.7945,-80.2542
1996,PCB,89.11,25.8081,-80.1397
1995,PCB,1.02,25.4814,-80.3285
1996,PCB,0.37,25.6365,-80.2378
1996,PCB,17.71,25.7804,-80.144
1995,DDT,0.03,25.7575,-80.1452
1996,PCB,0.44,25.6476,-80.2536
1995,DDT,0.15,25.5192,-80.3187
1996,PCB,4.02,25.9437,-80.1318
1995,DDT,0.11,25.4814,-80.2889
1996,DDT,0.07,25.8603,-80.1636
1995,PCB,0.63,25.4462,-80.3022
2000,PCB,1.61,25.2525,-80.406
2000,DDT,0,25.4395,-80.2388
2000,DDT,0.27,25.4395,-80.2562
2000,DDT,1.77,25.2575,-80.4237
1996,DDT,0.06,25.6421,-80.2271
1996,DDT,10.4,25.7355,-80.2751
1995,DDT,0.29,25.4761,-80.3064
1995,DDT,345.09,25.7703,-80.1918
1995,DDT,0.91,25.7589,-80.1476
1995,PCB,2.41,25.7619,-80.176
1995,PCB,1.18,25.4524,-80.3173
1996,PCB,19.86,25.7268,-80.2033
1995,PCB,0.39,25.4761,-80.3064
1995,PCB,461.39,25.7841,-80.2191
1995,PCB,985.69,25.7839,-80.2095
1995,PCB,0.82,25.752,-80.1751
1995,DDT,0.13,25.7551,-80.1711
1996,DDT,8.78,25.4631,-80.3345
1996,DDT,0.49,25.7037,-80.1894
1996,PCB,41.87,25.7857,-80.1469
1996,PCB,37.88,25.9278,-80.1252
2000,PCB,1.56,25.2408,-80.4035
1996,PCB,7.35,25.6973,-80.1987
1996,PCB,3.17,25.3012,-80.3758
1995,PCB,5.86,25.9205,-80.127
1996,PCB,0.63,25.6122,-80.2257
1996,PCB,0.45,25.6225,-80.2236
1996,PCB,0.97,25.3102,-80.3585
2000,PCB,0.96,25.4833,-80.2753
1995,DDT,0,25.7518,-80.1448
1996,PCB,113.12,25.8397,-80.123
1995,DDT,0,25.5031,-80.2943
1995,DDT,65.61,25.78,-80.2107
1995,DDT,47.84,25.799,-80.2486
1995,DDT,5.56,25.7493,-80.1971
1995,DDT,0.03,25.752,-80.1751
1995,PCB,0.23,25.5192,-80.3187
1996,DDT,0.33,25.9437,-80.1318
1996,DDT,1.39,25.8798,-80.1494
1995,PCB,15.96,25.538,-80.3269
1995,DDT,0,25.4329,-80.281
1996,PCB,6.83,25.8714,-80.1533
1996,PCB,27.93,25.8435,-80.1618
1995,PCB,332.86,25.78,-80.2107
1995,PCB,48.15,25.7636,-80.1661
1996,DDT,0.02,25.6813,-80.2411
2000,PCB,0.25,25.4683,-80.242
1995,PCB,4.16,25.7719,-80.1429
2000,DDT,0.04,25.4175,-80.2688
2000,PCB,0.92,25.4677,-80.2895
1995,DDT,0.11,25.7719,-80.1429
1996,PCB,48.85,25.7862,-80.1693
1996,PCB,38.42,25.8519,-80.1307
1995,DDT,3.8,25.9024,-80.1379
1996,DDT,1.85,25.7804,-80.144
1996,DDT,0,25.6815,-80.2193
1996,DDT,0.09,25.445,-80.2262
1996,DDT,39.92,25.8712,-80.1692
1995,DDT,48.85,25.7841,-80.2191
1995,DDT,24.36,25.8054,-80.2573
1995,DDT,0,25.5412,-80.2671
1995,DDT,0.16,25.7651,-80.1674
1995,PCB,2.07,25.7551,-80.1711
1995,PCB,62.02,25.7772,-80.1662
1996,PCB,29.46,25.8607,-80.1499
1995,PCB,656.18,25.799,-80.2486
1996,PCB,0.29,25.4006,-80.2649
1996,PCB,4.22,25.2906,-80.3698
1996,PCB,12.49,25.8206,-80.1464
1996,PCB,28.32,25.8188,-80.1239
1995,PCB,2.04,25.5192,-80.3422
1995,PCB,0.49,25.4546,-80.2984
1995,PCB,21,25.7697,-80.1797
1995,PCB,157.99,25.7951,-80.2459
1995,PCB,8.83,25.7608,-80.1861
1995,DDT,12.41,25.8022,-80.253
1996,DDT,3.33,25.8435,-80.1618
1996,DDT,4.6,25.8157,-80.1637
1996,DDT,0.09,25.8048,-80.1557
1995,PCB,13.61,25.5352,-80.325
1995,PCB,1009.66,25.782,-80.2079
1995,PCB,1460.81,25.7795,-80.207
1996,PCB,29.43,25.7838,-80.1549
1996,PCB,4.29,25.8048,-80.1557
1995,PCB,0.21,25.5303,-80.2965
1996,PCB,35.11,25.9278,-80.1442
1996,PCB,11.69,25.4628,-80.3398
1996,PCB,0.6,25.6813,-80.2411
1996,PCB,120.48,25.6609,-80.2724
1996,PCB,0.34,25.4037,-80.2685
1996,PCB,0.71,25.3512,-80.3189
1996,PCB,0.75,25.3004,-80.331
1996,PCB,4.49,25.4704,-80.3386
1995,DDT,0.28,25.4524,-80.3173
1996,PCB,24.8,25.7812,-80.171
1996,PCB,33.09,25.7887,-80.1604
1996,PCB,66.11,25.825,-80.1353
1996,PCB,170.31,25.8042,-80.1413
1995,DDT,46.92,25.7823,-80.2141
1995,DDT,0,25.5159,-80.2948
1996,PCB,1.13,25.6882,-80.2378
1995,DDT,272.2,25.7795,-80.207
1996,PCB,0.19,25.606,-80.2249
1995,DDT,1.27,25.7508,-80.1886
1996,PCB,9.61,25.7955,-80.1609
1995,DDT,1.45,25.5192,-80.3422
1995,PCB,3.39,25.5193,-80.3356
1995,DDT,0,25.4812,-80.3032
1995,DDT,5.93,25.5308,-80.316
1995,DDT,0.13,25.4814,-80.3285
1996,PCB,29.12,25.9248,-80.129
